Date,close,high,low,open,volume,day,macd,rsi_30,boll_ub,boll_lb,close_30_sma,close_60_sma
2010-01-04,6.4246039390563965,6.439313729395132,6.3756712403175895,6.407192276873698,493729600,0,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-05,6.435713291168213,6.4720376647979485,6.401790181206212,6.442317868487011,601904800,1,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-06,6.333343505859375,6.461229308639555,6.326738929835494,6.435712029359036,552160000,2,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-07,6.3216376304626465,6.364266783590396,6.27570698956904,6.3567615804320035,477131200,3,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-08,6.3636651039123535,6.3642659208955,6.27600714858805,6.313231347960155,447610800,4,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-11,6.307527542114258,6.394285265000137,6.257693806687277,6.3882811039097005,462229600,5,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-12,6.235777854919434,6.297319696934829,6.196752015047131,6.279907231093502,594459600,6,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-13,6.323738098144531,6.332143924367034,6.12710701670797,6.2402830577612445,605892000,7,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-14,6.287111759185791,6.3180327799474405,6.27480363296345,6.307525901583742,432894000,8,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-15,6.182043075561523,6.352257437794797,6.180241827206606,6.332143497831549,594067600,9,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
2010-01-19,6.455524444580078,6.460027564239748,6.221368234452969,6.254089701544755,730007600,10,-0.13520926118571097,47.61761844409462,6.5986454404460275,5.833646019591203,6.115898497899374,6.317813682556152
