epoch,loss,train_roc,train_pr,val_roc,val_pr,test_roc,test_pr,lr
1,0.22592520170895627,0.6433637339366265,0.6299409336284167,0.5725706692141878,0.02376017190514812,0.5777071785859133,0.04339900271153297,0.001
2,0.21098787297112073,0.7511184845422163,0.7590465570635606,0.7253055800509505,0.1112368354055103,0.7431951177118137,0.10251907458832671,0.001
3,0.20308633812869242,0.7827593890532694,0.7962794235841402,0.7341361699000587,0.07136997479692828,0.706821298209699,0.10031900265992984,0.001
4,0.19986926764249802,0.7764443096347804,0.7850175562349622,0.7149654614932393,0.12880164213291573,0.680233299213967,0.07766321516046025,0.001
5,0.1947201909713967,0.7881512979452867,0.8130088533188502,0.7262639623750735,0.17282987939526473,0.7275188783097395,0.15245424961653098,0.001
6,0.1919150102970212,0.7881501064644267,0.8053230754501446,0.7013552077209484,0.17020644228695064,0.7480638869039572,0.13558200141409357,0.001
7,0.18747585757758267,0.7537416382498868,0.7697541078419123,0.7131252449539486,0.0897894560300959,0.6838757025048765,0.06698714164604672,0.001
8,0.1830316062352454,0.8237347679661446,0.8339050158826944,0.7408968988830099,0.15435823215220512,0.6981865234940806,0.0746541169641661,0.001
9,0.17993679166186688,0.8375763780041516,0.8579903291927033,0.7558268420536939,0.3099060201056944,0.7578593638347593,0.2683717289663943,0.001
10,0.17773516031429748,0.8069960223216485,0.8199759943055549,0.7182754017244758,0.1469991923785025,0.6939241777554607,0.07287510238907571,0.001
11,0.18102410302836766,0.8401256492344725,0.8590598147142139,0.7771531452087007,0.20473078580982554,0.7671642944050676,0.1266051999754552,0.001
12,0.17203463752602421,0.8440972410657089,0.8596234340029278,0.7758671369782482,0.12417449646362239,0.7412966646710055,0.10001663132403106,0.001
13,0.1693289627342723,0.8760993298398337,0.8879567361596257,0.7813081765628063,0.20029054468579652,0.7430811719036676,0.17970824155178847,0.001
14,0.16422228520923807,0.8800444166973524,0.8868897010526182,0.7895631246325691,0.18039999693095676,0.7745224898124723,0.12901693967666006,0.001
15,0.16159137038066407,0.850273339097094,0.8649321148389801,0.7290166323731138,0.17244338848072088,0.7416423646652118,0.17511645606360796,0.001
16,0.16060182660125022,0.8918637098487173,0.896932276994346,0.7953654712913972,0.2518363387445235,0.7635296162536936,0.10960930178043665,0.001
17,0.1546386553682098,0.908433770596892,0.9104866625261303,0.7918779394473837,0.22825608227773303,0.7790745282836671,0.17440568126434025,0.001
18,0.1521067857280258,0.8875703425768419,0.8919012748210642,0.7894069664902998,0.20346251735857143,0.7281349581876823,0.0942521220229666,0.001
19,0.14906009174017018,0.916428864933338,0.9163694077026383,0.7859745492847345,0.28845256644943373,0.7762606462079221,0.22335711115732673,0.001
20,0.1467344120953434,0.9135934071120392,0.9172361234340108,0.7830044826572604,0.23566250466436195,0.7708665675273759,0.15092159818746645,0.001
21,0.14132807333051234,0.9179092422604496,0.9199107934870969,0.7736564275916129,0.16234062895632878,0.7446068869618958,0.12186481459352241,0.001
22,0.1421414846482203,0.9190326995923901,0.9208230840733165,0.7834913286302174,0.2244571866521704,0.7624403715792117,0.16318231259636282,0.001
23,0.13951077274689377,0.9302135940451142,0.9275909372493526,0.7728878845776993,0.2519796921416389,0.7738735780915044,0.20684603408692978,0.001
24,0.13095950263068656,0.9385117747981052,0.9345584760988519,0.7880566578483245,0.20629250396641463,0.7741227138415189,0.14717798618106578,0.0005
25,0.12530903318940206,0.9545211444868154,0.9488953541370009,0.7832188173623358,0.23238514239545754,0.7840147550165124,0.17325437508184577,0.0005
26,0.12337911435106928,0.9505803730145659,0.9470864596251398,0.7625416421712718,0.2030845262662647,0.7367214507812048,0.12444549827002448,0.0005
27,0.11934436121305754,0.9606494444978636,0.9564318553600316,0.7800558495002939,0.23521346106182514,0.7550686571776202,0.17768044983020734,0.0005
28,0.11903177912152091,0.9628397489724665,0.955771597044917,0.7724255339996081,0.24975099483471336,0.7453233936537978,0.13495521273878155,0.0005
