Model,Device,Inference Time (ms),Memory (MB)
iSTFT Best Loss,CPU,13.677743400000963,3.01953125
iSTFT Best MCD,CPU,14.21543360000328,2.08125
iSTFT Best Loss,GPU,5.218470287322998,176.10126953125
iSTFT Best MCD,GPU,5.559807968139649,188.19892578125
