model_name,file_size_MB,total_params,total_params_M,trainable_params,fp32_theoretical_MB,fp16_theoretical_MB,int8_theoretical_MB,cold_start_mean_ms,cold_start_std_ms,warm_mean_ms,warm_std_ms,warm_median_ms,warm_p95_ms,warm_p99_ms,throughput_optimal,device,peak_memory_MB,current_memory_MB,system_memory_MB,total_flops,flops_billions,flops_millions,original_accuracy,typo_robustness,synonym_robustness,avg_robustness
Teacher (DistilBERT),255.42503356933594,66955010,66.95501,66955010,255.41309356689453,127.70654678344727,63.85327339172363,92.45543479919434,64.6812207654502,67.94368267059326,11.8451623456785,66.80798530578613,89.28390741348267,102.33078479766846,29.580120905446474,CPU,0.009274482727050781,0.0025682449340820312,2717.52734375,0,0.0,0.0,0.93,0.93,0.93,0.93
Student Baseline (MiniLM-L12),127.28345489501953,33360770,33.36077,33360770,127.26123809814453,63.630619049072266,31.815309524536133,48.651933670043945,26.251807717170742,32.36077547073364,3.836156803343878,31.57520294189453,40.31698703765869,43.016307353973396,52.900448829793255,CPU,0.011463165283203125,0.0029582977294921875,2621.15234375,0,0.0,0.0,0.95,0.93,0.95,0.94
Distilled Student,127.28345489501953,33360770,33.36077,33360770,127.26123809814453,63.630619049072266,31.815309524536133,46.28753662109375,26.72800416494642,32.982378005981445,4.158270228375608,31.83138370513916,40.792572498321526,45.12091159820557,41.81923936925225,CPU,0.011560440063476562,0.003055572509765625,2622.7890625,0,0.0,0.0,0.95,0.93,0.95,0.94
Pruned Student (20%),127.28345489501953,33360770,33.36077,33360770,127.26123809814453,63.630619049072266,31.815309524536133,50.311994552612305,26.057915654978817,34.64033126831055,5.642416764691256,32.763004302978516,44.85375881195068,48.42058658599857,44.20665318867539,CPU,0.011449813842773438,0.00286865234375,2624.83984375,0,0.0,0.0,0.96,0.94,0.96,0.95
Pruned + Quantized,127.28345489501953,33360770,33.36077,33360770,127.26123809814453,63.630619049072266,31.815309524536133,72.14436531066895,42.56569878880264,43.641369342803955,7.882988671468618,42.95504093170166,56.391346454620354,64.63248014450076,49.731587903644325,CPU,0.011449813842773438,0.00286865234375,2627.37109375,0,0.0,0.0,0.96,0.93,0.96,0.945
