gamma,ppo_learning_rate,ppo_n_steps,ppo_ent_coef,a2c_learning_rate,a2c_n_steps,a2c_ent_coef,ppo_weight,reward
0.9617341969794384,0.0001153807281210831,512,0.03216360939951401,0.0003560036530948277,512,0.09570122287834132,0.6907558098447868,2.9008963108062744
0.9590810302647046,0.0004176335340924808,512,0.04487097810274643,0.0002510592755560825,512,0.05896161082649633,0.04942448665062771,2.6822242736816406
0.9611305358920779,0.00020968454992784411,256,0.07077314896164112,0.0002949971229259569,128,0.08592466104583438,0.19915126854428067,2.882366418838501
0.9277442766488431,8.817204627833297e-05,512,0.05552378837659151,1.0171453184355725e-05,512,0.06054544467713191,0.20831598191209133,2.827141523361206
0.9971930351887117,0.00012228796269181735,128,0.09964684099197914,0.00016096599203402944,512,0.09676925220726323,0.6941948425717127,2.795177698135376
0.9158087773543314,0.0002640309929981063,256,0.06327281410876434,4.8142638759035304e-05,128,0.06124271742689107,0.2669642509010596,2.8265318870544434
0.9603209499160473,2.7659700617869453e-05,512,0.04731625381791158,2.2039861715173935e-05,128,0.04004673971346883,0.04065145912665025,2.1476006507873535
0.9928410651751209,5.875533150904978e-05,256,0.014833498974486471,1.856298561648942e-05,256,0.025882235035563386,0.79765478716968,2.859292507171631
0.958640655107541,3.127744776983589e-05,512,0.04975556597024081,0.0003378470382553944,512,0.0796372800122299,0.276692500850362,2.846018075942993
0.9500383355065488,0.00032303960317366375,256,0.053877210850448255,3.360966835149917e-05,256,0.058717058139598315,0.10401218824654956,2.574276924133301
0.9762409560163127,1.0221903004900273e-05,128,0.006944507137079586,0.0009254692996268432,512,0.001308766559413109,0.9762318633145395,2.8965837955474854
0.9817984875383379,1.0400999087406146e-05,128,0.00033636936025362857,0.0006619476881746618,512,0.00025696366781118875,0.9334775389097636,2.886277437210083
0.9773742139236794,0.0009886648206847571,128,0.02392567074764019,0.0008759982304575828,512,0.0021459006584109807,0.5505025990812211,2.8861875534057617
0.9374454849402519,2.0355451940397226e-05,128,0.02839192308281693,0.0006027361088659976,512,0.02041697440587638,0.9837115228359483,2.89853835105896
0.9313508065511147,3.15221961792563e-05,512,0.03269955642875155,9.337211861837647e-05,512,0.03074028343804795,0.5173434559274952,1.1275163888931274
0.9387670171542805,1.8959114936598737e-05,128,0.0311081637311805,0.0004813009294192295,256,0.015781864071041728,0.7970411551486765,2.71490478515625
0.900329651140395,6.0257933530445826e-05,128,0.021956931879578402,0.0001345838313029025,512,0.04387915826167297,0.6989728550168921,2.9017889499664307
0.9005204526572986,6.304250162590963e-05,512,0.07774477397102517,0.00011120113800484316,512,0.044819648801246795,0.6435966847808061,2.8075666427612305
0.9033233322647358,0.00015751609727011776,512,0.017449973669863023,7.904183005755752e-05,128,0.07418051357504034,0.3739109548405451,2.735927104949951
0.9171280344407825,5.5022094775378486e-05,128,0.03870050359035013,0.0001606504026397935,256,0.09590968276909279,0.4257704810428143,2.8987619876861572
