timestamps,TP9,AF7,AF8,TP10,Marker0
1594927524.823,-31.738,-17.578,-28.809,-41.504,0
1594927524.827,-23.926,-15.625,-27.832,-39.551,0
1594927524.831,-23.438,-19.043,-28.320,-36.621,0
1594927524.835,-28.809,-23.438,-32.227,-37.109,0
1594927524.839,-24.902,-19.531,-32.715,-37.598,0
1594927524.843,-22.949,-17.578,-32.227,-32.715,0
1594927524.846,-25.391,-19.043,-30.273,-29.785,0
1594927524.850,-27.832,-18.066,-29.785,-35.156,0
1594927524.854,-23.438,-17.090,-30.762,-34.180,0
1594927524.858,-29.297,-18.555,-34.668,-41.016,0
1594927524.862,-40.527,-19.531,-37.598,-45.898,0
1594927524.859,-45.898,-18.066,-35.645,-49.316,0
1594927524.863,-46.875,-20.996,-31.738,-47.363,0
1594927524.867,-39.062,-18.555,-29.297,-45.898,0
1594927524.871,-39.062,-17.090,-37.598,-45.898,0
1594927524.875,-41.992,-17.090,-41.992,-44.434,0
1594927524.879,-41.016,-19.043,-37.109,-45.898,0
1594927524.883,-39.062,-19.043,-40.527,-42.969,0
1594927524.886,-38.574,-16.602,-39.062,-41.992,0
1594927524.890,-32.715,-12.695,-37.109,-38.574,0
1594927524.894,-27.344,-9.766,-37.109,-30.762,0
1594927524.898,-17.090,-9.277,-31.250,-32.227,0
1594927524.902,-20.020,-10.742,-31.250,-36.133,0
1594927524.913,-20.996,-13.184,-35.645,-37.109,0
1594927524.917,-20.996,-12.695,-35.645,-37.598,0
1594927524.921,-24.902,-14.648,-29.297,-36.133,0
1594927524.925,-18.555,-9.766,-29.297,-39.062,0
1594927524.929,-21.973,-7.812,-36.133,-41.992,0
1594927524.933,-31.738,-16.602,-34.180,-43.945,0
1594927524.937,-34.180,-20.508,-32.715,-46.875,0
1594927524.940,-27.832,-12.207,-32.715,-40.527,0
1594927524.944,-34.180,-4.395,-28.320,-41.016,0
1594927524.948,-39.551,-8.301,-31.738,-48.340,0
1594927524.952,-44.922,-11.719,-30.762,-46.387,0
1594927524.956,-52.734,-14.648,-30.273,-44.922,0
1594927524.952,-46.387,-16.602,-29.785,-41.992,0
1594927524.956,-34.668,-14.160,-27.832,-37.109,0
1594927524.960,-31.738,-16.113,-28.320,-52.734,0
1594927524.964,-30.273,-17.090,-32.227,-53.711,0
1594927524.968,-28.320,-16.113,-32.715,-40.527,0
1594927524.972,-32.715,-16.113,-29.785,-47.363,0
1594927524.976,-30.273,-17.578,-28.809,-45.410,0
1594927524.979,-27.832,-10.254,-26.367,-42.480,0
1594927524.983,-28.809,-10.742,-31.250,-47.363,2
1594927524.987,-25.879,-18.555,-34.668,-41.504,0
1594927524.991,-26.855,-11.230,-30.273,-37.598,0
1594927524.995,-24.414,-9.277,-29.785,-41.016,0
1594927525.007,-28.320,-18.066,-33.203,-43.457,0
1594927525.011,-32.715,-21.973,-34.668,-36.621,0
1594927525.015,-35.645,-16.602,-33.691,-28.320,0
1594927525.019,-40.039,-14.160,-37.109,-37.598,0
1594927525.023,-42.480,-10.254,-40.527,-45.410,0
1594927525.027,-46.387,-6.836,-37.109,-46.387,0
1594927525.031,-51.758,-7.324,-38.086,-45.898,0
1594927525.034,-48.340,-4.883,-34.180,-42.969,0
1594927525.038,-41.504,-1.953,-29.297,-39.551,0
1594927525.042,-48.340,-5.371,-25.879,-36.133,0
1594927525.046,-47.363,-6.348,-24.414,-40.039,0
1594927525.050,-49.316,-3.418,-22.949,-43.457,0
1594927525.044,-42.480,-5.371,-23.438,-39.062,0
1594927525.048,-30.273,-7.324,-23.926,-27.832,0
1594927525.052,-40.039,-7.324,-20.508,-29.297,0
1594927525.056,-38.574,-9.277,-23.926,-36.621,0
