timestamps,TP9,AF7,AF8,TP10,Marker0
1594927347.874,-28.320,-29.785,-20.020,-32.715,0
1594927347.878,-33.203,-30.762,-21.973,-30.273,0
1594927347.882,-26.855,-33.203,-19.043,-22.949,0
1594927347.886,-24.414,-40.039,-17.090,-24.414,0
1594927347.890,-34.668,-39.062,-20.996,-26.855,0
1594927347.894,-41.504,-36.621,-26.855,-23.926,0
1594927347.898,-41.992,-31.738,-26.855,-25.879,0
1594927347.901,-34.180,-27.344,-24.414,-27.832,0
1594927347.905,-25.879,-26.855,-28.809,-30.762,0
1594927347.909,-18.066,-27.344,-32.227,-30.762,0
1594927347.913,-17.578,-27.344,-29.785,-35.645,0
1594927347.917,-28.809,-26.367,-34.180,-42.480,0
1594927347.931,-31.738,-30.762,-32.227,-37.598,0
1594927347.935,-23.438,-36.621,-29.297,-35.156,0
1594927347.939,-21.484,-33.691,-27.832,-39.062,0
1594927347.943,-27.832,-26.367,-28.809,-32.715,0
1594927347.947,-26.855,-17.578,-27.344,-35.156,0
1594927347.951,-21.484,-20.996,-33.203,-37.598,0
1594927347.955,-25.879,-29.297,-39.551,-29.297,0
1594927347.958,-28.320,-33.691,-28.809,-25.879,0
1594927347.962,-23.926,-39.551,-23.926,-28.320,0
1594927347.966,-26.367,-35.156,-21.484,-26.367,0
1594927347.970,-32.715,-32.227,-21.484,-29.785,0
1594927347.974,-31.738,-31.250,-23.438,-32.227,0
1594927347.969,-36.621,-35.156,-22.461,-34.668,0
1594927347.973,-31.738,-36.621,-25.391,-31.250,0
1594927347.977,-35.156,-39.551,-29.785,-32.227,0
1594927347.981,-41.504,-45.898,-28.809,-38.574,0
1594927347.985,-33.691,-40.039,-22.949,-36.621,0
1594927347.989,-28.320,-34.668,-21.484,-37.109,0
1594927347.993,-25.879,-37.598,-20.996,-29.297,0
1594927347.996,-31.250,-37.598,-21.484,-25.391,0
1594927348.000,-37.109,-32.715,-26.855,-28.809,0
1594927348.004,-30.273,-34.668,-24.414,-29.785,0
1594927348.008,-19.043,-33.203,-21.973,-32.227,0
1594927348.012,-18.066,-31.250,-24.414,-31.738,0
1594927348.026,-23.438,-38.574,-24.902,-37.598,0
1594927348.030,-14.648,-38.574,-31.738,-39.062,0
1594927348.034,-18.066,-34.180,-30.762,-25.391,0
1594927348.038,-30.762,-36.621,-28.320,-29.785,0
1594927348.042,-27.344,-35.156,-28.320,-49.805,0
1594927348.046,-33.691,-36.621,-30.762,-50.293,0
1594927348.050,-35.156,-46.875,-37.109,-47.363,0
1594927348.053,-39.551,-48.340,-36.133,-54.688,0
1594927348.057,-42.969,-45.410,-20.508,-57.129,0
1594927348.061,-36.621,-40.039,-16.602,-50.781,0
1594927348.065,-36.621,-43.945,-25.879,-45.898,0
1594927348.069,-36.133,-47.363,-23.926,-42.969,0
1594927348.062,-37.598,-43.945,-23.926,-45.410,0
1594927348.066,-39.551,-41.992,-27.832,-47.363,0
1594927348.070,-28.809,-37.109,-29.297,-39.062,0
1594927348.074,-25.879,-42.480,-28.320,-33.691,0
1594927348.078,-30.273,-43.945,-31.738,-29.297,0
1594927348.082,-31.738,-33.691,-29.785,-24.414,0
1594927348.086,-30.273,-29.785,-22.949,-16.602,0
1594927348.089,-36.133,-24.902,-21.973,-16.113,0
1594927348.093,-43.457,-25.879,-34.180,-21.973,0
1594927348.097,-40.527,-32.227,-40.527,-22.949,0
1594927348.101,-36.621,-27.832,-31.250,-26.367,0
1594927348.105,-30.762,-23.926,-29.297,-23.438,0
1594927348.118,-35.645,-25.879,-32.227,-23.926,0
1594927348.122,-34.668,-29.297,-31.738,-32.227,0
1594927348.126,-39.551,-26.367,-31.250,-47.852,0
1594927348.130,-41.992,-25.879,-34.180,-49.805,0
1594927348.134,-28.809,-27.344,-32.715,-40.527,0
1594927348.138,-32.715,-28.809,-33.691,-36.621,0
1594927348.142,-36.133,-33.691,-34.180,-35.645,0
1594927348.145,-38.086,-35.645,-30.273,-45.410,0
1594927348.149,-34.668,-23.926,-27.832,-46.875,0
1594927348.153,-33.691,-14.160,-25.391,-44.922,0
1594927348.157,-44.922,-15.137,-25.879,-46.875,0
1594927348.161,-40.039,-16.602,-30.762,-47.852,0
1594927348.156,-26.367,-13.184,-28.320,-43.457,0
1594927348.160,-25.391,-14.160,-28.320,-37.109,0
1594927348.164,-27.832,-19.043,-31.250,-34.668,0
1594927348.168,-33.691,-23.438,-28.809,-31.250,0
1594927348.172,-27.344,-23.926,-20.996,-20.508,0
1594927348.176,-23.438,-13.672,-18.555,-17.090,0
1594927348.180,-34.180,-19.531,-17.090,-25.391,0
1594927348.183,-33.203,-26.855,-15.625,-20.508,0
1594927348.187,-30.762,-20.020,-25.879,-16.602,0
1594927348.191,-40.039,-20.020,-45.410,-22.461,0
1594927348.195,-40.039,-32.715,-37.109,-24.902,0
1594927348.199,-28.809,-29.297,-20.508,-22.461,0
1594927348.212,-32.227,-31.250,-22.461,-25.879,0
1594927348.216,-32.715,-37.598,-27.832,-33.691,0
1594927348.220,-36.133,-38.574,-28.809,-41.992,0
1594927348.224,-32.715,-45.898,-23.438,-43.457,0
1594927348.228,-22.949,-37.109,-26.367,-38.086,0
1594927348.232,-27.344,-33.691,-32.715,-34.180,0
1594927348.236,-33.203,-37.109,-26.367,-30.762,0
1594927348.239,-33.203,-30.273,-19.043,-32.227,0
1594927348.243,-25.391,-27.832,-20.996,-34.180,0
1594927348.247,-28.320,-31.250,-27.344,-34.668,0
1594927348.251,-38.086,-30.273,-30.762,-35.645,0
1594927348.255,-40.527,-34.180,-27.344,-35.156,0
1594927348.251,-40.527,-40.527,-28.320,-32.227,0
1594927348.255,-36.621,-40.527,-33.691,-33.691,0
1594927348.259,-35.156,-41.992,-34.180,-40.039,0
1594927348.263,-38.086,-42.969,-35.156,-41.504,0
1594927348.267,-36.621,-43.945,-30.273,-40.527,0
1594927348.271,-41.016,-41.504,-28.320,-44.434,0
1594927348.275,-38.086,-36.621,-26.855,-45.898,0
1594927348.278,-33.203,-32.715,-27.344,-45.898,0
1594927348.282,-30.273,-37.109,-34.668,-42.969,0
1594927348.286,-31.738,-39.062,-34.180,-43.945,0
