timestamps,TP9,AF7,AF8,TP10,Marker0
1594927676.527,-26.367,-27.832,-28.320,-11.719,0
1594927676.531,-27.344,-29.785,-28.320,-12.207,0
1594927676.535,-30.762,-30.273,-25.391,-13.184,0
1594927676.539,-22.461,-29.785,-28.809,-12.695,0
1594927676.543,-23.926,-32.715,-28.320,-24.902,0
1594927676.547,-27.832,-33.203,-38.086,-30.762,0
1594927676.551,-36.621,-30.273,-39.062,-21.484,0
1594927676.554,-41.504,-26.367,-36.621,-30.273,0
1594927676.558,-36.621,-25.879,-38.086,-36.621,0
1594927676.562,-37.598,-30.273,-36.133,-46.387,0
1594927676.566,-38.574,-27.344,-38.086,-61.035,0
1594927676.570,-43.457,-21.484,-35.156,-50.781,0
1594927676.584,-39.551,-19.531,-31.250,-39.551,0
1594927676.588,-31.738,-19.531,-32.227,-37.598,0
1594927676.592,-33.203,-16.113,-27.344,-43.457,0
1594927676.596,-36.621,-20.508,-31.250,-51.758,0
1594927676.600,-22.949,-29.297,-32.227,-48.828,0
1594927676.604,-15.625,-23.438,-25.391,-41.504,0
1594927676.608,-23.926,-26.367,-23.926,-35.156,0
1594927676.611,-29.297,-34.668,-23.438,-29.297,0
1594927676.615,-35.156,-33.203,-26.367,-25.879,0
1594927676.619,-37.598,-34.668,-28.809,-22.461,0
1594927676.623,-30.762,-34.180,-29.785,-22.949,0
1594927676.627,-37.598,-32.715,-31.250,-31.250,0
1594927676.620,-39.062,-32.715,-30.762,-31.250,0
1594927676.624,-33.203,-31.250,-30.762,-25.879,0
1594927676.628,-32.715,-32.227,-35.645,-21.484,0
1594927676.632,-32.715,-38.086,-35.645,-19.531,0
1594927676.636,-45.898,-37.598,-36.133,-31.250,0
1594927676.640,-56.641,-38.086,-36.621,-40.039,0
1594927676.644,-56.152,-36.621,-28.320,-33.203,0
1594927676.647,-62.500,-40.527,-28.809,-38.086,0
1594927676.651,-60.547,-45.898,-33.691,-38.574,0
1594927676.655,-53.711,-42.480,-29.297,-35.156,0
1594927676.659,-47.363,-37.598,-27.832,-38.086,0
1594927676.663,-38.086,-29.785,-27.832,-35.645,0
1594927676.676,-28.809,-30.273,-32.227,-31.738,0
1594927676.680,-25.391,-24.414,-29.785,-27.344,0
1594927676.684,-18.066,-11.230,-21.484,-28.809,0
1594927676.688,-27.344,-19.531,-27.832,-29.297,0
1594927676.692,-36.133,-26.855,-34.180,-32.715,0
1594927676.696,-29.785,-31.738,-35.645,-33.691,0
1594927676.700,-29.785,-36.133,-33.203,-32.715,0
1594927676.703,-31.250,-34.180,-31.250,-38.574,0
1594927676.707,-29.785,-32.715,-33.691,-39.551,0
1594927676.711,-26.367,-38.574,-29.785,-42.480,0
1594927676.715,-24.902,-39.551,-31.250,-42.969,0
1594927676.719,-21.484,-33.203,-33.203,-34.180,0
1594927676.714,-27.832,-32.715,-40.039,-35.645,0
1594927676.718,-37.109,-38.086,-37.598,-40.527,0
1594927676.722,-40.039,-38.574,-35.156,-36.621,0
1594927676.726,-43.457,-36.133,-37.598,-24.902,0
1594927676.730,-62.988,-40.039,-28.809,-16.113,0
1594927676.734,-73.242,-41.016,-25.879,-14.160,0
1594927676.738,-64.453,-38.574,-29.785,-6.836,0
1594927676.741,-61.035,-35.645,-27.344,-7.812,0
1594927676.745,-50.781,-33.691,-28.320,-11.719,0
1594927676.749,-39.062,-29.297,-23.926,-13.184,0
1594927676.753,-33.203,-34.180,-20.020,-19.043,0
1594927676.757,-36.133,-37.109,-20.996,-35.156,0
1594927676.770,-26.367,-33.203,-21.484,-32.227,0
1594927676.774,-25.391,-38.086,-29.297,-18.066,0
1594927676.778,-31.738,-38.574,-26.855,-23.926,0
1594927676.782,-23.438,-37.598,-25.391,-30.762,0
1594927676.786,-28.320,-35.156,-27.832,-30.762,0
1594927676.790,-27.832,-34.180,-28.809,-43.457,0
1594927676.794,-28.320,-31.738,-37.109,-44.434,0
1594927676.797,-24.414,-28.320,-30.762,-42.480,0
1594927676.801,-20.508,-33.203,-14.160,-48.340,0
1594927676.805,-29.785,-29.297,-18.066,-47.363,0
1594927676.809,-29.297,-28.809,-24.902,-45.410,0
1594927676.813,-34.180,-31.250,-22.461,-47.852,0
1594927676.809,-43.457,-26.367,-21.973,-36.621,0
1594927676.813,-47.363,-25.391,-17.090,-24.414,0
1594927676.817,-51.270,-26.367,-13.672,-27.344,0
1594927676.821,-48.340,-28.809,-28.320,-26.367,0
1594927676.825,-43.457,-24.902,-26.367,-24.902,0
1594927676.829,-37.598,-22.949,-21.973,-29.785,0
1594927676.833,-32.715,-34.180,-23.926,-16.602,0
1594927676.836,-39.062,-40.527,-27.832,-22.461,0
1594927676.840,-34.180,-35.645,-31.250,-25.879,0
1594927676.844,-30.273,-31.250,-24.902,-27.832,0
1594927676.848,-31.738,-37.598,-33.203,-43.457,0
1594927676.852,-44.434,-42.480,-38.086,-40.039,0
1594927676.864,-53.223,-39.551,-42.969,-38.574,0
1594927676.868,-42.969,-35.645,-45.898,-39.062,0
1594927676.872,-36.133,-31.738,-34.668,-37.109,0
1594927676.876,-34.668,-32.227,-35.156,-38.086,0
1594927676.880,-32.715,-29.297,-38.086,-47.852,0
1594927676.884,-30.762,-32.227,-35.156,-39.062,0
1594927676.888,-38.574,-41.504,-33.691,-21.973,0
1594927676.891,-41.504,-42.480,-31.250,-21.484,0
1594927676.895,-29.297,-36.621,-33.203,-29.297,0
1594927676.899,-30.273,-32.227,-33.691,-31.738,0
1594927676.903,-29.297,-42.480,-29.297,-24.902,0
1594927676.907,-27.344,-41.016,-29.297,-32.227,0
1594927676.901,-38.574,-36.133,-31.738,-39.551,0
1594927676.905,-37.109,-35.645,-32.715,-47.852,0
1594927676.909,-33.203,-36.133,-32.715,-52.734,0
1594927676.913,-36.133,-42.480,-32.227,-56.641,0
1594927676.917,-36.133,-39.551,-27.344,-59.082,0
1594927676.921,-33.691,-34.180,-27.344,-44.922,0
1594927676.925,-40.527,-36.133,-27.344,-35.156,0
1594927676.928,-40.527,-34.668,-26.855,-30.762,0
1594927676.932,-30.762,-30.762,-29.785,-23.926,0
1594927676.936,-26.855,-33.203,-25.391,-28.809,0
1594927676.940,-26.367,-29.297,-27.832,-37.109,0
1594927676.944,-22.461,-27.832,-33.691,-37.109,0
1594927676.957,-20.020,-35.156,-33.691,-45.410,0
1594927676.961,-41.504,-36.621,-36.133,-50.293,0
1594927676.965,-37.598,-34.668,-30.273,-36.133,0
1594927676.969,-20.508,-35.156,-26.855,-31.738,0
1594927676.973,-42.969,-36.133,-23.926,-35.156,0
1594927676.977,-71.777,-39.062,-28.320,-24.902,0
1594927676.981,-60.547,-39.551,-26.367,-24.902,0
1594927676.984,-44.922,-44.434,-12.207,-33.203,0
1594927676.988,-39.062,-42.969,-16.113,-34.180,0
1594927676.992,-36.621,-40.039,-22.461,-33.203,0
1594927676.996,-35.645,-35.645,-20.996,-32.715,0
1594927677.000,-29.785,-23.926,-15.625,-32.715,0
1594927676.995,-26.855,-14.160,-14.160,-32.227,0
1594927676.999,-27.832,-18.555,-22.949,-41.504,0
1594927677.003,-37.598,-30.273,-29.297,-44.922,0
1594927677.007,-42.969,-33.691,-29.297,-36.621,0
1594927677.011,-36.621,-36.621,-26.367,-31.250,0
1594927677.015,-23.926,-37.109,-31.250,-28.320,0
1594927677.019,-24.414,-27.832,-27.344,-25.879,0
1594927677.022,-26.367,-24.902,-25.879,-39.551,0
1594927677.026,-34.180,-30.273,-29.785,-41.016,0
1594927677.030,-48.828,-30.762,-25.879,-29.297,0
1594927677.034,-55.664,-29.785,-29.297,-28.809,0
1594927677.038,-52.734,-27.832,-31.250,-27.344,0
1594927677.051,-45.898,-27.344,-31.738,-26.367,0
1594927677.055,-42.969,-32.227,-30.273,-14.160,0
1594927677.059,-40.039,-31.738,-21.973,-11.230,0
1594927677.063,-32.227,-31.738,-25.391,-24.414,0
1594927677.067,-31.250,-32.715,-32.715,-35.156,0
1594927677.071,-28.320,-33.203,-33.203,-42.480,0
1594927677.075,-27.344,-32.227,-36.621,-43.457,0
1594927677.078,-34.180,-36.621,-40.527,-45.410,0
1594927677.082,-34.180,-43.945,-39.551,-46.387,0
1594927677.086,-43.945,-34.668,-34.668,-43.457,0
1594927677.090,-60.547,-30.762,-29.785,-31.738,0
1594927677.094,-49.805,-29.785,-33.691,-31.250,0
1594927677.089,-57.129,-33.691,-38.574,-41.504,0
1594927677.093,-58.105,-39.062,-27.832,-39.551,0
1594927677.097,-45.898,-34.668,-22.949,-28.320,0
1594927677.101,-51.758,-34.668,-28.320,-28.320,0
1594927677.105,-47.852,-36.133,-24.414,-30.762,0
1594927677.109,-40.527,-31.250,-27.832,-33.691,0
1594927677.113,-30.273,-20.508,-31.738,-38.086,0
1594927677.116,-23.926,-21.973,-29.297,-34.180,0
1594927677.120,-21.484,-23.926,-35.156,-39.062,0
1594927677.124,-32.715,-21.484,-32.227,-39.551,0
1594927677.128,-43.457,-21.484,-29.785,-32.715,0
1594927677.132,-45.898,-20.508,-32.715,-36.621,0
1594927677.145,-45.410,-25.879,-28.320,-28.809,0
1594927677.149,-43.945,-32.715,-20.996,-20.996,0
1594927677.153,-40.039,-30.273,-23.438,-22.461,0
1594927677.157,-35.156,-29.297,-28.320,-22.461,0
